#Bottom-up search
#2022-1-30 13:56:42 --  seed: 1646168895 	max_stride: auto (2%) 	arc_start: -2 	arc_end: -2 	closure: H
# index Adet_1 Adet_2	 start end length
0 	3 7	3_1	 374 144 270 	
1 	3 7	3_1	 115 384 269 	
2 	3 7	3_1	 356 153 297 	
3 	3 7	3_1	 114 414 300 	
4 	3 7	3_1	 349 153 304 	
5 	3 7	3_1	 106 415 309 	
6 	3 7	3_1	 110 407 297 	
7 	3 7	3_1	 117 390 273 	
8 	3 7	3_1	 119 376 257 	
9 	3 7	3_1	 125 411 286 	
10 	3 7	3_1	 119 405 286 	
11 	3 7	3_1	 117 380 263 	
12 	3 7	3_1	 119 364 245 	
13 	3 7	3_1	 125 365 240 	
14 	3 7	3_1	 112 348 236 	
15 	3 7	3_1	 109 359 250 	
16 	3 7	3_1	 113 359 246 	
17 	3 7	3_1	 111 365 254 	
18 	3 7	3_1	 106 366 260 	
19 	3 7	3_1	 113 374 261 	
20 	3 7	3_1	 111 367 256 	
21 	3 7	3_1	 113 374 261 	
22 	3 7	3_1	 331 93 262 	
23 	3 7	3_1	 88 370 282 	
24 	3 7	3_1	 84 370 286 	
25 	3 7	3_1	 85 368 283 	
26 	3 7	3_1	 89 360 271 	
27 	3 7	3_1	 90 359 269 	
28 	3 7	3_1	 86 371 285 	
29 	3 7	3_1	 92 372 280 	
30 	3 7	3_1	 90 374 284 	
31 	3 7	3_1	 94 371 277 	
32 	3 7	3_1	 88 377 289 	
33 	3 7	3_1	 99 374 275 	
34 	3 7	3_1	 99 379 280 	
35 	3 7	3_1	 99 365 266 	
36 	3 7	3_1	 100 351 251 	
37 	3 7	3_1	 103 360 257 	
38 	3 7	3_1	 99 356 257 	
39 	3 7	3_1	 89 362 273 	
40 	3 7	3_1	 88 359 271 	
41 	3 7	3_1	 88 362 274 	
42 	3 7	3_1	 102 361 259 	
43 	3 7	3_1	 91 346 255 	
44 	3 7	3_1	 93 359 266 	
45 	3 7	3_1	 84 354 270 	
46 	3 7	3_1	 95 352 257 	
47 	3 7	3_1	 105 352 247 	
48 	3 7	3_1	 95 347 252 	
49 	3 7	3_1	 100 349 249 	
50 	3 7	3_1	 96 351 255 	
51 	3 7	3_1	 98 355 257 	
52 	3 7	3_1	 103 355 252 	
53 	3 7	3_1	 96 353 257 	
54 	3 7	3_1	 88 358 270 	
55 	3 7	3_1	 90 350 260 	
56 	3 7	3_1	 84 345 261 	
57 	3 7	3_1	 86 354 268 	
58 	3 7	3_1	 92 349 257 	
59 	3 7	3_1	 95 354 259 	
60 	3 7	3_1	 95 349 254 	
61 	3 7	3_1	 81 347 266 	
62 	3 7	3_1	 84 354 270 	
63 	3 7	3_1	 98 365 267 	
64 	3 7	3_1	 97 359 262 	
65 	3 7	3_1	 91 360 269 	
66 	3 7	3_1	 83 360 277 	
67 	3 7	3_1	 90 359 269 	
68 	3 7	3_1	 107 356 249 	
69 	3 7	3_1	 106 359 253 	
70 	3 7	3_1	 98 349 251 	
71 	3 7	3_1	 88 355 267 	
72 	3 7	3_1	 87 357 270 	
73 	3 7	3_1	 98 354 256 	
