#Timestep Max1DUnsignedWrithe ArgMax1DUnsignedWrithe Max3DLocalWrithe ArgMax3DLocalWrithe 
0 0.377974 136 4.42237 132
1 0.323434 166 3.62367 127
2 0.253307 27 3.83012 140
3 0.295898 20 4.00691 138
4 0.333986 14 4.0966 158
5 0.374146 442 4.7097 130
6 0.453092 441 4.01171 365
7 0.415947 444 4.08394 132
8 0.465596 452 4.48399 139
9 0.694773 369 4.45266 358
10 0.592539 438 5.24856 178
11 0.670703 443 4.97347 352
12 0.956536 441 5.0638 342
13 0.808693 419 5.04454 416
14 0.605575 415 5.10402 358
15 0.659392 465 4.82099 359
16 0.602027 467 4.16113 365
17 0.602915 407 4.88866 359
18 0.44062 390 4.57404 358
19 0.635638 394 4.48757 365
20 0.441975 159 4.83928 371
21 0.383724 416 4.93061 400
22 0.451939 379 6.12566 391
23 0.334999 386 5.19832 375
24 0.442753 401 5.27456 376
25 0.399686 146 5.86113 185
26 0.436601 154 5.31115 188
27 0.384848 143 5.64318 373
28 0.375955 149 5.35793 372
29 0.511985 490 5.71155 53
30 0.581179 376 5.10993 376
31 0.566887 376 4.68195 351
32 0.583034 420 4.66291 383
33 0.514245 428 4.26189 362
34 0.569357 436 4.73195 354
35 0.56028 429 4.76802 351
36 0.554631 433 4.4153 349
37 0.409783 434 3.76527 345
38 0.409253 322 4.05487 352
39 0.386359 418 4.10004 354
40 0.412973 133 4.02564 359
41 0.444155 135 3.96803 91
42 0.413025 452 4.2855 89
43 0.359564 443 4.35997 348
44 0.309452 450 4.03054 347
45 0.455525 311 3.96782 345
46 0.447038 104 4.61972 90
47 0.439694 232 4.51783 349
48 0.372354 120 4.31567 100
49 0.420221 125 4.57522 85
50 0.380709 226 4.30261 327
51 0.411428 97 4.86913 87
52 0.383827 237 4.68117 331
53 0.297605 473 4.54549 168
54 0.361469 315 4.04752 343
55 0.355637 305 4.47649 345
56 0.335453 454 5.12236 79
57 0.497736 431 4.84171 74
58 0.358429 417 5.12679 332
59 0.318063 272 4.86966 347
60 0.425203 124 4.31752 341
61 0.355968 499 4.21095 351
62 0.451202 106 4.70449 344
63 0.412815 120 4.41572 115
64 0.396269 121 4.19743 347
65 0.416043 418 4.30346 333
66 0.432081 412 4.98064 340
67 0.388626 185 4.09219 344
68 0.488135 168 3.87434 335
69 0.285271 411 3.99181 337
70 0.396339 328 4.57909 340
71 0.406591 173 3.98256 343
72 0.326711 143 3.79885 345
73 0.398325 148 4.2232 344
74 0.679507 151 4.604 354
75 0.460813 149 4.25894 344
76 0.338716 141 3.81177 346
77 0.360562 152 3.65927 338
78 0.296522 237 3.95113 354
79 0.420167 152 3.76162 343
80 0.352816 156 4.15129 338
81 0.260608 253 3.75081 107
82 0.319103 136 3.78248 349
83 0.323092 130 3.61287 345
84 0.471884 154 3.81909 346
85 0.402702 143 3.79123 110
86 0.467749 122 4.11362 114
87 0.403038 135 3.76721 350
88 0.474825 137 4.54364 115
89 0.438644 124 4.0871 120
90 0.345471 130 3.91108 349
91 0.281984 248 4.22386 341
92 0.419974 266 4.33273 335
93 0.431746 169 4.43356 347
94 0.535683 171 3.60863 342
95 0.568753 175 4.02059 339
96 0.466883 165 4.17678 140
97 0.518876 255 5.22786 135
98 0.562713 259 4.63816 135
99 0.416134 281 3.91531 130
100 0.33 282 3.88172 344
101 0.337956 288 3.83933 335
102 0.339682 270 3.81147 126
103 0.36083 275 3.77313 333
104 0.632026 168 4.31216 127
105 0.505863 266 3.88646 338
106 0.495799 166 3.89808 137
107 0.473729 262 3.97958 135
108 0.45355 175 3.79327 136
109 0.40648 176 4.13386 336
110 0.730905 170 4.35888 350
111 0.587144 175 4.10151 341
112 0.751189 172 4.52338 335
113 0.496755 174 3.92686 339
114 0.569195 172 3.92019 131
115 0.711894 170 4.53349 140
116 0.567422 165 4.12726 339
117 0.563585 167 4.4869 342
118 0.5251 164 4.51856 333
119 0.445697 159 4.30997 342
120 0.429045 173 4.65513 340
121 0.512675 165 4.5651 333
122 0.313476 152 4.32058 335
123 0.378481 159 4.69415 327
124 0.459215 120 4.76387 155
125 0.461618 164 4.41585 150
126 0.652716 144 4.30437 160
127 0.741549 176 4.28306 168
128 0.821741 170 4.86444 173
129 0.677973 176 4.25651 171
130 0.759943 177 4.32788 136
131 0.754096 170 4.18309 152
132 0.756634 179 4.66606 151
133 1.00094 170 4.7087 148
134 1.5577 168 5.52448 159
135 0.977775 170 5.3196 143
136 1.05722 171 4.76706 325
137 0.979073 170 4.67161 155
138 0.818777 162 4.61822 156
139 0.713595 171 4.07731 323
140 0.909951 167 4.68235 177
141 0.589936 269 4.62769 319
142 0.900421 174 4.89477 138
143 0.918182 174 4.09866 147
144 0.707551 172 3.91688 146
145 0.904247 166 4.30085 149
146 0.849932 166 4.58083 146
147 0.802103 164 4.11941 315
148 0.923059 162 4.68697 146
149 0.772368 160 4.41945 166
150 0.944594 158 4.75803 163
151 0.87516 154 4.56174 151
152 0.989338 157 4.73852 149
153 1.4871 147 5.10447 146
154 1.17533 148 4.80682 142
155 1.19787 145 4.82028 137
156 1.11085 154 5.01683 145
157 1.42323 157 5.09081 139
158 1.23692 159 4.86659 146
159 1.22874 165 4.71258 145
160 0.914828 162 4.57605 176
161 1.26802 163 5.0056 176
162 0.985347 162 4.63795 172
163 0.84487 155 4.38779 167
164 0.544081 155 3.97115 141
165 0.541952 357 4.2044 315
166 0.550919 353 4.48989 324
167 0.693408 346 4.8785 326
168 0.558551 351 4.41249 328
169 0.424936 354 3.65018 143
170 0.39526 346 3.73065 139
171 0.527855 350 3.80418 140
172 0.58481 343 4.21359 141
173 0.575689 344 3.91406 133
174 0.490683 154 4.21187 137
175 0.453258 331 4.12386 130
176 0.354625 314 3.62155 336
177 0.648019 157 4.3674 128
178 0.607231 160 4.0682 130
179 1.10529 156 4.67712 129
180 0.503499 150 3.73713 131
181 0.571114 169 4.47251 135
182 0.479542 348 3.95001 128
183 0.431383 346 3.80424 152
184 0.44952 348 3.93072 181
185 0.63227 152 3.87172 334
186 0.659934 341 4.88035 336
187 0.912731 346 4.85747 345
188 0.859687 340 4.54337 325
189 0.749349 342 5.0469 345
190 0.601644 340 4.75023 340
191 0.698807 340 4.74391 341
192 0.612864 333 4.88754 336
193 0.684201 346 4.16727 350
194 0.926338 348 4.5503 354
195 0.767544 348 4.73343 349
196 0.672582 343 4.85071 348
197 0.523563 346 4.50685 353
198 0.546798 158 4.34799 339
199 0.609791 150 4.79203 343
200 0.487297 159 4.39692 149
201 0.560881 161 4.22601 346
202 0.686615 161 4.00123 347
203 0.780153 155 4.21 350
204 0.499098 154 3.671 340
205 0.450322 130 3.91095 132
206 0.446606 137 3.70285 335
207 0.45884 135 3.96881 129
208 0.420571 162 4.05462 337
209 0.517115 149 4.26755 136
210 0.517818 158 4.25231 349
211 0.536585 153 3.91795 346
212 0.469809 154 4.05932 130
213 0.464961 160 3.85801 336
214 0.472821 166 3.86889 335
215 0.516897 166 3.8716 132
216 0.48629 157 3.76411 343
217 0.680882 160 4.05793 131
218 0.703547 164 4.35213 340
219 0.601032 162 4.00944 338
220 0.763151 163 4.60266 159
221 0.583608 151 4.06024 147
222 0.592051 159 4.00272 336
223 0.558481 159 4.07206 342
224 0.510592 370 4.07343 168
225 0.610768 24 4.0964 159
226 0.571915 156 4.28018 168
227 0.746903 162 4.45626 162
228 0.582868 166 4.61978 166
229 0.633415 173 4.58445 163
230 0.611454 171 4.48647 154
231 0.616769 447 4.32586 162
232 0.566864 161 5.04268 160
233 0.720564 374 4.47884 160
234 1.16524 375 5.4308 152
235 1.30137 369 5.31239 153
236 1.02391 369 4.80132 154
237 0.817798 364 4.6262 382
238 0.744784 370 4.41603 357
239 0.632293 367 4.9062 166
240 0.63283 371 4.76213 170
241 0.754196 361 5.4115 163
242 0.938243 359 5.15778 166
243 1.09761 358 5.29862 335
244 0.675181 363 5.21943 160
245 0.910341 357 5.03929 348
246 1.01106 360 5.17069 351
247 0.910344 364 4.94009 169
248 1.14058 358 5.37088 339
249 1.22521 359 5.98629 338
250 1.24444 370 6.2217 169
251 1.70946 364 6.14691 166
252 1.61965 365 5.14678 389
253 1.68786 361 5.95117 347
254 2.06911 367 6.09817 392
255 1.71352 360 5.54262 168
256 1.33027 358 5.88638 166
257 1.26105 359 5.77368 162
258 1.44854 364 5.30997 161
259 1.16878 359 5.40532 395
260 1.48259 361 5.25789 401
261 1.38029 361 5.73121 402
262 1.88669 361 5.28093 335
263 1.66343 365 5.16034 391
264 1.94817 362 5.5324 336
265 1.68636 369 6.4573 330
266 1.6941 368 5.5674 355
267 1.8615 370 5.91305 364
268 1.60603 376 5.01905 402
269 1.47404 379 4.88167 364
270 1.57313 377 5.51378 156
271 1.54506 380 5.60552 360
272 1.75135 377 5.42201 360
273 1.42083 376 5.26573 357
274 1.08713 371 5.29224 355
275 1.6474 374 5.62925 357
276 1.4026 376 5.43621 355
277 1.04656 377 5.31627 355
278 0.733776 365 5.36375 351
279 1.1164 377 5.73232 356
280 0.948471 377 4.63793 360
281 0.930673 378 4.57534 169
282 1.15416 376 5.18187 360
283 1.50556 377 5.17943 364
284 1.62616 381 5.23813 365
285 0.985991 380 4.67983 167
286 0.939791 384 5.19416 159
287 1.03726 377 5.38004 358
288 1.23131 382 5.12575 157
289 1.33771 372 5.20681 347
290 1.17943 372 4.73478 354
291 1.58401 370 6.0431 357
292 1.17919 372 5.34891 150
293 1.42375 377 6.41017 152
294 1.28753 373 4.84181 159
295 1.36865 366 5.06662 394
296 1.48625 373 5.06098 331
297 0.907996 359 4.81276 388
298 1.46259 367 4.89517 390
299 1.88388 364 6.0254 383
300 1.46461 360 5.38779 347
301 1.74045 357 5.76355 342
