,Knot Type,Replica #,Correlation Fraction,Correlation Score,Representation
0,$3_1$,0,0.36772,1.667029261,Random Probability
1,$3_1$,1,0.501062,1.187477797,Random Probability
2,$3_1$,2,0.495126,1.229989942,Random Probability
3,$3_1$,3,0.46,1.647826087,Random Probability
4,$3_1$,4,0.360182,2.190559217,Random Probability
5,$3_1$,5,0.505614,1.279632289,Random Probability
6,$3_1$,6,0.423788,1.404003889,Random Probability
7,$3_1$,7,0.585736,0.88094295,Random Probability
8,$3_1$,8,0.505222,1.074775049,Random Probability
9,$3_1$,9,0.530246,1.235275702,Random Probability
10,$3_1$,10,0.528428,1.16382932,Random Probability
11,$3_1$,11,0.434814,1.320104688,Random Probability
12,$3_1$,12,0.521738,1.219002641,Random Probability
13,$3_1$,13,0.355728,1.875028111,Random Probability
14,$3_1$,14,0.505204,1.405372879,Random Probability
15,$3_1$,15,0.514224,1.553797567,Random Probability
16,$3_1$,16,0.51935,1.091749302,Random Probability
17,$3_1$,17,0.333644,2.04709211,Random Probability
18,$3_1$,18,0.402992,1.593083734,Random Probability
19,$3_1$,19,0.460978,1.431738608,Random Probability
20,$3_1$,20,0.523536,0.991335839,Random Probability
21,$3_1$,21,0.58389,1.09952217,Random Probability
22,$3_1$,22,0.4858,1.434746809,Random Probability
23,$3_1$,23,0.483372,1.160596807,Random Probability
24,$3_1$,24,0.397408,1.919941219,Random Probability
25,$3_1$,25,0.384224,1.918151911,Random Probability
26,$3_1$,26,0.49303,1.1216356,Random Probability
27,$3_1$,27,0.50201,1.356546682,Random Probability
28,$3_1$,28,0.490594,1.178163614,Random Probability
29,$3_1$,29,0.494908,1.345704656,Random Probability
30,$3_1$,30,0.465556,1.372552389,Random Probability
31,$3_1$,31,0.536478,0.950644761,Random Probability
32,$3_1$,32,0.404624,1.3963581,Random Probability
33,$3_1$,33,0.487358,1.374759417,Random Probability
34,$3_1$,34,0.535386,1.398990635,Random Probability
35,$3_1$,35,0.552376,1.04276797,Random Probability
36,$3_1$,36,0.52357,1.585270355,Random Probability
37,$3_1$,37,0.46894,1.16219559,Random Probability
38,$3_1$,38,0.400208,1.40676848,Random Probability
39,$3_1$,39,0.506278,1.183144438,Random Probability
40,$3_1$,40,0.533726,1.19911715,Random Probability
41,$3_1$,41,0.312826,2.391105599,Random Probability
42,$3_1$,42,0.560834,1.194649397,Random Probability
43,$3_1$,43,0.526346,0.96324471,Random Probability
44,$3_1$,44,0.550742,1.044046032,Random Probability
45,$3_1$,45,0.586732,0.930578186,Random Probability
46,$3_1$,46,0.523464,0.662891813,Random Probability
47,$3_1$,47,0.49261,0.980491667,Random Probability
48,$3_1$,48,0.60275,1.020323517,Random Probability
49,$3_1$,49,0.516494,0.977746111,Random Probability
50,$3_1$,50,0.529764,1.192984046,Random Probability
51,$3_1$,51,0.526902,1.152016884,Random Probability
52,$3_1$,52,0.43112,1.438114678,Random Probability
53,$3_1$,53,0.528186,1.011007486,Random Probability
54,$3_1$,54,0.524274,1.384772085,Random Probability
55,$3_1$,55,0.281034,3.170434894,Random Probability
56,$3_1$,56,0.327452,2.244603789,Random Probability
57,$3_1$,57,0.386298,1.41082791,Random Probability
58,$3_1$,58,0.527494,1.072997987,Random Probability
59,$3_1$,59,0.515708,1.18090082,Random Probability
60,$3_1$,60,0.496168,1.348333629,Random Probability
61,$3_1$,61,0.524132,1.240145612,Random Probability
62,$3_1$,62,0.469486,1.086294373,Random Probability
63,$3_1$,63,0.401166,1.635233295,Random Probability


64,$5_1$,0,0.533018,1.639719484,Random Probability
65,$5_1$,1,0.642196,1.284654529,Random Probability
66,$5_1$,2,0.53179,1.617179714,Random Probability
67,$5_1$,3,0.612892,1.395025551,Random Probability
68,$5_1$,4,0.572274,1.410163663,Random Probability
69,$5_1$,5,0.547954,1.682622994,Random Probability
70,$5_1$,6,0.651206,1.156316127,Random Probability
71,$5_1$,7,0.575346,1.338325112,Random Probability
72,$5_1$,8,0.63315,1.228776751,Random Probability
73,$5_1$,9,0.65195,1.260832886,Random Probability
74,$5_1$,10,0.628112,1.350077693,Random Probability
75,$5_1$,11,0.65825,1.165210786,Random Probability
76,$5_1$,12,0.595526,1.355104563,Random Probability
77,$5_1$,13,0.612384,1.265545801,Random Probability
78,$5_1$,14,0.661342,1.08869541,Random Probability
79,$5_1$,15,0.64137,0.94797075,Random Probability
80,$5_1$,16,0.535786,1.564057292,Random Probability
81,$5_1$,17,0.67278,1.16977318,Random Probability
