,Knot Type,Replica #,Correlation Fraction,Correlation Score,Representation
0,$3_1$,0,0.40772,1.0104974,Random Probability
5,$3_1$,1,0.541062,1.010974713,Random Probability
10,$3_1$,2,0.535126,0.962390166,Random Probability
15,$3_1$,3,0.5,1.016,Random Probability
20,$3_1$,4,0.400182,1.009540659,Random Probability
25,$3_1$,5,0.545614,0.989710675,Random Probability
30,$3_1$,6,0.463788,0.933616221,Random Probability
35,$3_1$,7,0.625736,1.02758991,Random Probability
40,$3_1$,8,0.545222,1.006929288,Random Probability
45,$3_1$,9,0.570246,1.024119415,Random Probability
50,$3_1$,10,0.568428,1.029154088,Random Probability
55,$3_1$,11,0.474814,1.019346523,Random Probability
60,$3_1$,12,0.561738,1.023608871,Random Probability
65,$3_1$,13,0.395728,1.01584927,Random Probability
70,$3_1$,14,0.545204,1.00329418,Random Probability
75,$3_1$,15,0.554224,1.041095297,Random Probability
80,$3_1$,16,0.55935,0.988647537,Random Probability
85,$3_1$,17,0.373644,1.059832354,Random Probability
90,$3_1$,18,0.442992,1.002275436,Random Probability
95,$3_1$,19,0.500978,0.998047818,Random Probability
100,$3_1$,20,0.563536,0.968882201,Random Probability
105,$3_1$,21,0.62389,1.017807626,Random Probability
110,$3_1$,22,0.5258,0.998478509,Random Probability
115,$3_1$,23,0.523372,1.005021285,Random Probability
120,$3_1$,24,0.437408,1.012784403,Random Probability
125,$3_1$,25,0.424224,0.947612582,Random Probability
130,$3_1$,26,0.53303,0.998067651,Random Probability
135,$3_1$,27,0.54201,0.985221675,Random Probability
140,$3_1$,28,0.530594,1.076152388,Random Probability
145,$3_1$,29,0.534908,0.979607708,Random Probability
150,$3_1$,30,0.505556,0.985054079,Random Probability
155,$3_1$,31,0.576478,1.026925572,Random Probability
160,$3_1$,32,0.444624,1.030083846,Random Probability
165,$3_1$,33,0.527358,1.03914229,Random Probability
170,$3_1$,34,0.575386,1.004543037,Random Probability
175,$3_1$,35,0.592376,1.036503842,Random Probability
180,$3_1$,36,0.56357,1.045123055,Random Probability
185,$3_1$,37,0.50894,1.039415255,Random Probability
190,$3_1$,38,0.440208,0.983625922,Random Probability
195,$3_1$,39,0.546278,0.944574008,Random Probability
200,$3_1$,40,0.573726,1.057996326,Random Probability
205,$3_1$,41,0.352826,1.028835743,Random Probability
210,$3_1$,42,0.600834,1.020248521,Random Probability
215,$3_1$,43,0.566346,0.994091951,Random Probability
