,Knot Type,Replica #,Colocalisation Fraction,Component,Representation
0,$2_1^2$,0,0.1335,Chain 1,Random Probability
9,$2_1^2$,1,0.1147,Chain 1,Random Probability
18,$2_1^2$,2,0.1118,Chain 1,Random Probability
27,$2_1^2$,3,0.1904,Chain 1,Random Probability
36,$2_1^2$,4,0.2011,Chain 1,Random Probability
45,$2_1^2$,5,0.1492,Chain 1,Random Probability
54,$2_1^2$,6,0.1839,Chain 1,Random Probability
63,$2_1^2$,7,0.1243,Chain 1,Random Probability
72,$2_1^2$,8,0.1475,Chain 1,Random Probability
81,$2_1^2$,9,0.1316,Chain 1,Random Probability
90,$2_1^2$,10,0.1579,Chain 1,Random Probability
99,$2_1^2$,11,0.1242,Chain 1,Random Probability
108,$2_1^2$,12,0.1579,Chain 1,Random Probability
117,$2_1^2$,13,0.1469,Chain 1,Random Probability
126,$2_1^2$,14,0.1576,Chain 1,Random Probability
135,$2_1^2$,15,0.1564,Chain 1,Random Probability
144,$2_1^2$,16,0.1454,Chain 1,Random Probability
153,$2_1^2$,17,0.1919,Chain 1,Random Probability
162,$2_1^2$,18,0.1947,Chain 1,Random Probability
171,$2_1^2$,19,0.1846,Chain 1,Random Probability
180,$2_1^2$,20,0.1062,Chain 1,Random Probability
189,$2_1^2$,21,0.1477,Chain 1,Random Probability
198,$2_1^2$,22,0.1875,Chain 1,Random Probability
207,$2_1^2$,23,0.1591,Chain 1,Random Probability
216,$2_1^2$,24,0.1026,Chain 1,Random Probability
225,$2_1^2$,25,0.2349,Chain 1,Random Probability
234,$2_1^2$,26,0.1563,Chain 1,Random Probability
243,$2_1^2$,27,0.2204,Chain 1,Random Probability
252,$2_1^2$,28,0.1393,Chain 1,Random Probability
261,$2_1^2$,29,0.166,Chain 1,Random Probability
270,$2_1^2$,30,0.0994,Chain 1,Random Probability
279,$2_1^2$,31,0.1727,Chain 1,Random Probability


1,$2_1^2$,0,0.19186,Chain 2,Random Probability
10,$2_1^2$,1,0.19074,Chain 2,Random Probability
19,$2_1^2$,2,0.12616,Chain 2,Random Probability
28,$2_1^2$,3,0.1974,Chain 2,Random Probability
37,$2_1^2$,4,0.22878,Chain 2,Random Probability
46,$2_1^2$,5,0.20272,Chain 2,Random Probability
55,$2_1^2$,6,0.20458,Chain 2,Random Probability
64,$2_1^2$,7,0.20002,Chain 2,Random Probability
73,$2_1^2$,8,0.22606,Chain 2,Random Probability
82,$2_1^2$,9,0.23376,Chain 2,Random Probability
91,$2_1^2$,10,0.1939,Chain 2,Random Probability
100,$2_1^2$,11,0.17704,Chain 2,Random Probability
109,$2_1^2$,12,0.27638,Chain 2,Random Probability
118,$2_1^2$,13,0.15714,Chain 2,Random Probability
127,$2_1^2$,14,0.21032,Chain 2,Random Probability
136,$2_1^2$,15,0.2436,Chain 2,Random Probability
145,$2_1^2$,16,0.18616,Chain 2,Random Probability
154,$2_1^2$,17,0.18806,Chain 2,Random Probability
163,$2_1^2$,18,0.21866,Chain 2,Random Probability
172,$2_1^2$,19,0.22444,Chain 2,Random Probability
181,$2_1^2$,20,0.21692,Chain 2,Random Probability
190,$2_1^2$,21,0.21438,Chain 2,Random Probability
199,$2_1^2$,22,0.20198,Chain 2,Random Probability
208,$2_1^2$,23,0.26754,Chain 2,Random Probability
217,$2_1^2$,24,0.11084,Chain 2,Random Probability
226,$2_1^2$,25,0.21422,Chain 2,Random Probability
235,$2_1^2$,26,0.22642,Chain 2,Random Probability
244,$2_1^2$,27,0.338,Chain 2,Random Probability
253,$2_1^2$,28,0.13998,Chain 2,Random Probability
262,$2_1^2$,29,0.18596,Chain 2,Random Probability
271,$2_1^2$,30,0.14992,Chain 2,Random Probability
280,$2_1^2$,31,0.25246,Chain 2,Random Probability


2,$2_1^2$,0,0.02561331,Link,Random Probability
11,$2_1^2$,1,0.021877878,Link,Random Probability
20,$2_1^2$,2,0.014104688,Link,Random Probability
